Mole fraction Au	LIQUID + FCC_A1	Mole fraction Au [1]	Tieline
0.95640	1336.13984	0.99999	1337.32975
0.96874	1336.50881	0.99999	1337.32975
0.98109	1336.85258	1.00000	1337.32989
0.99345	1337.17122	1.00000	1337.32989
0.99963	1337.32115	1.00000	1337.32996
0.99982	1337.32574	1.00000	1337.32996
0.99992	1337.32803	1.00000	1337.32998
0.99997	1337.32917	1.00000	1337.32998
0.99999	1337.32975	1.00000	1337.32998
1.00000	1337.32989	1.00000	1337.32998
1.00000	1337.32996	1.00000	1337.32998
1.00000	1337.32998	1.00000	1337.32998
1.00000	1337.32998		
1.00000	1337.32998		
